,Unnamed: 0,query,reference_contexts,reference_answer,reference_answer_by,query_by,traduccion
0,0,What is the deadline for the calendar to be printed and available for sale to the public?,"['4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.']",,,ai (gpt-3.5-turbo),¿Cuál es la fecha límite para que el calendario sea impreso y esté disponible para la venta al público?
1,1,How much should each printed copy of the calendar cost if it contains two sheets?,"['4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.']",,,ai (gpt-3.5-turbo),¿Cuánto debería costar cada copia impresa del calendario si contiene dos hojas?
2,2,What is the price for a calendar with only one sheet according to the given information?,"['4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.']",,,ai (gpt-3.5-turbo),¿Cuál es el precio de un calendario con solo una hoja según la información proporcionada?
3,3,¿Por qué se menciona la importancia de las Leyes formularias en el discurso dirigido al Supremo Consejo?,"['En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.']",,,ai (gpt-3.5-turbo),"¿Por qué se menciona la importancia de las Leyes formularias en el discurso dirigido al Supremo Consejo? 

¿Por qué se menciona la importancia de las Leyes formularias en el discurso dirigido al Supremo Consejo?"
4,4,¿Cuáles son los daños que se mencionan en el discurso que pueden causar las leyes bien dictadas pero que no tienen fórmulas definidas para los actos que se tratan?,"['En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.']",,,ai (gpt-3.5-turbo),"¿Cuáles son los daños que se mencionan en el discurso que pueden causar las leyes bien dictadas pero que no tienen fórmulas definidas para los actos que se tratan? 

¿Cuáles son los daños que se mencionan en el discurso que pueden causar las leyes bien dictadas pero que no tienen fórmulas definidas para los actos que se tratan?"
5,5,"¿Qué beneficios se mencionan en el discurso al aplicar el formulario de los juicios, según el texto proporcionado?","['En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.']",,,ai (gpt-3.5-turbo),"¿Cuáles son los beneficios mencionados en el discurso al aplicar el formulario de los juicios, según el texto proporcionado?"
6,6,Who should someone contact if they lost a mare in the Vallecas area on the 9th of last month?,"['Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.']",,,ai (gpt-3.5-turbo),¿A quién debería contactar alguien si perdió una yegua en el área de Vallecas el día 9 del mes pasado?
7,7,What information must be provided in order for the mare to be returned by Sr. Alcalde de la Hermandad D. Nicolas Humanes?,"['Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.']",,,ai (gpt-3.5-turbo),¿Qué información se debe proporcionar para que la yegua sea devuelta por el Sr. Alcalde de la Hermandad D. Nicolás Humanes?
8,8,What actions should be taken by the owner of the lost mare in order to potentially recover their animal?,"['Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.']",,,ai (gpt-3.5-turbo),¿Qué acciones debe tomar el dueño de la yegua perdida para potencialmente recuperar su animal?
9,9,What date did the burra de leche go missing and during what time frame?,"['El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.']",,,ai (gpt-3.5-turbo),¿En qué fecha desapareció la burra de leche y durante qué período de tiempo?
