,query,reference_contexts,reference_answer,reference_answer_by,query_by
0,¿Qué evento se celebra hoy en el Convento de Religiosas Capuchinas y cuál es su propósito?,"['Hoy se celebra el quinto día de Oración en el Convento de Religiosas Capuchinas para dar gracias por el feliz parto de la Reina nuestra Señora, con la asistencia de la comunidad de eclesiásticos. El acto comienza a las 10 de la mañana.']",,None,ai (gpt-4o-mini)
1,¿A qué hora comienza el acto de oración en el convento?,"['Hoy se celebra el quinto día de Oración en el Convento de Religiosas Capuchinas para dar gracias por el feliz parto de la Reina nuestra Señora, con la asistencia de la comunidad de eclesiásticos. El acto comienza a las 10 de la mañana.']",,None,ai (gpt-4o-mini)
2,¿Quiénes asistirán a la celebración del quinto día de Oración en el convento?,"['Hoy se celebra el quinto día de Oración en el Convento de Religiosas Capuchinas para dar gracias por el feliz parto de la Reina nuestra Señora, con la asistencia de la comunidad de eclesiásticos. El acto comienza a las 10 de la mañana.']",,None,ai (gpt-4o-mini)
3,¿Cuántas hectáreas de tierras de cultivo tiene el arrendatario mencionado en el texto?,"['Supongamos que un arrendatario tiene 3200 hectáreas de tierras de cultivo; cada año, siembra la mitad y las demás que quedan sin cultivar y se utilizan como alimento para setenta a cien carneros.']",,None,ai (gpt-4o-mini)
4,¿Qué porcentaje de las tierras de cultivo siembra el arrendatario cada año y qué uso se les da a las tierras que no se siembran?,"['Supongamos que un arrendatario tiene 3200 hectáreas de tierras de cultivo; cada año, siembra la mitad y las demás que quedan sin cultivar y se utilizan como alimento para setenta a cien carneros.']",,None,ai (gpt-4o-mini)
5,"¿Cuántos carneros se alimentan con las tierras que quedan sin cultivar, según el contexto proporcionado?","['Supongamos que un arrendatario tiene 3200 hectáreas de tierras de cultivo; cada año, siembra la mitad y las demás que quedan sin cultivar y se utilizan como alimento para setenta a cien carneros.']",,None,ai (gpt-4o-mini)
6,¿Dónde debe ir la persona interesada para discutir el precio de la casa mencionada en el texto?,"['La persona interesada en verla para discutir su precio debe ir a la tienda de D. Manuel Blanco, que vive en la calle de Fuencarral, n. 5. Él informará sobre el Notario encargado de la venta de dicha casa, para poder verificarla con el mejor postor.']",,None,ai (gpt-4o-mini)
7,¿Quién es el encargado de informar sobre el Notario relacionado con la venta de la casa?,"['La persona interesada en verla para discutir su precio debe ir a la tienda de D. Manuel Blanco, que vive en la calle de Fuencarral, n. 5. Él informará sobre el Notario encargado de la venta de dicha casa, para poder verificarla con el mejor postor.']",,None,ai (gpt-4o-mini)
8,¿Cuál es la dirección de D. Manuel Blanco según el texto?,"['La persona interesada en verla para discutir su precio debe ir a la tienda de D. Manuel Blanco, que vive en la calle de Fuencarral, n. 5. Él informará sobre el Notario encargado de la venta de dicha casa, para poder verificarla con el mejor postor.']",,None,ai (gpt-4o-mini)
9,¿Cuál es la función principal de los guardas y peones de los paseos según el texto?,"['Los guardas y peones de los paseos tienen autorización para evitar que se cometan excesos. En ese caso, podrán confiscar prendas y reportar inmediatamente a un Regidor comisionado para que tome las medidas necesarias conforme a la justicia.']",,None,ai (gpt-4o-mini)
10,¿Qué acciones pueden llevar a cabo los guardas y peones si observan que se cometen excesos?,"['Los guardas y peones de los paseos tienen autorización para evitar que se cometan excesos. En ese caso, podrán confiscar prendas y reportar inmediatamente a un Regidor comisionado para que tome las medidas necesarias conforme a la justicia.']",,None,ai (gpt-4o-mini)
11,¿A quién deben reportar los guardas y peones en caso de confiscar prendas?,"['Los guardas y peones de los paseos tienen autorización para evitar que se cometan excesos. En ese caso, podrán confiscar prendas y reportar inmediatamente a un Regidor comisionado para que tome las medidas necesarias conforme a la justicia.']",,None,ai (gpt-4o-mini)
12,¿Cuál es la ubicación específica de la pequeña plaza de Merlo mencionada en el texto? Describe su relación con la casa de Infantado y la cochera de Alpedrete.,"['En la pequeña plaza de Merlo, que está detrás de la casa de Infantado, en frente de la nueva cochera de Alpedrete número 14, se están alquilando una sala, una alcoba y otra habitación, con la opción de incluir servicios o no.']",,None,ai (gpt-4o-mini)
13,¿Qué tipos de espacios se están alquilando en la plaza de Merlo según el documento? Enumera los diferentes tipos de habitaciones mencionados.,"['En la pequeña plaza de Merlo, que está detrás de la casa de Infantado, en frente de la nueva cochera de Alpedrete número 14, se están alquilando una sala, una alcoba y otra habitación, con la opción de incluir servicios o no.']",,None,ai (gpt-4o-mini)
